扩展名,用途,变种,出处
.ace,ACE 归档 (e-merge),ACE,https://en.wikipedia.org/wiki/ACE_(file_format)
.acsl,ANSI/ISO C Specification Language (Frama-C),acsl,https://www.frama-c.com/
.ade,Microsoft Access Data Project 编译版,ADE 2000-2007,https://en.wikipedia.org/wiki/Microsoft_Access
.adf,"Amiga 磁盘文件格式, 880KB DD 软盘镜像","OFS, FFS, OFS-FFS, DOS",https://en.wikipedia.org/wiki/Amiga_Disk_File
.adml,组策略 ADMX 语言资源,adml,https://learn.microsoft.com/en-us/troubleshoot/windows-server/group-policy/create-or-edit-administrative-template-files
.admx,组策略 ADMX 模板,admx,https://learn.microsoft.com/en-us/troubleshoot/windows-server/group-policy/create-or-edit-administrative-template-files
.ado,Stata 自动加载程序,ado,https://en.wikipedia.org/wiki/Stata
.adp,"Microsoft Access Data Project, 连接到 SQL Server",ADP 2000-2007,https://en.wikipedia.org/wiki/Microsoft_Access
.aep,After Effects 项目,AEP/AEPX,https://en.wikipedia.org/wiki/After_Effects
.aepx,After Effects XML 项目,AEPX,https://en.wikipedia.org/wiki/After_Effects
.aff,Hunspell 词缀文件,aff,https://en.wikipedia.org/wiki/Hunspell
.afm,Adobe Font Metrics,AFM,https://en.wikipedia.org/wiki/Adobe_Font_Metrics
.ai,Adobe Illustrator vector document,AI 1.0-CS6;PostScript-based;CC 2018+ uses PDF-compatible format;layers,https://en.wikipedia.org/wiki/Adobe_Illustrator_Artwork
.aif,AIFF 短扩展,AIFF/AIFF-C 容器,https://en.wikipedia.org/wiki/Audio_Interchange_File_Format
.aiff,Apple AIFF 未压缩音频容器,AIF/AIFF-C/Compressed AIFC,https://en.wikipedia.org/wiki/Audio_Interchange_File_Format
.alac,Apple Lossless Audio Codec,ALAC in M4A/CAF,https://en.wikipedia.org/wiki/Apple_Lossless
.amr,Adaptive Multi-Rate 语音编码,AMR-NB/AMR-WB/AMR-WB+,https://en.wikipedia.org/wiki/Adaptive_Multi-Rate_audio_codec
.ani,Windows Animated Cursor (RIFF container),RIFF (ACON);ANI header;sequence of CUR/ICO frames;rate;step,https://en.wikipedia.org/wiki/ICO_(file_format)
.annoy,Spotify Approximate Nearest Neighbors,ann index,https://github.com/spotify/annoy
.aof,"Redis Append-Only File, 增量持久化","AOF, RDB+AOF",https://en.wikipedia.org/wiki/Redis
.ape,Monkey's Audio 无损压缩,APE/MAC HD,https://en.wikipedia.org/wiki/Monkey%27s_Audio
.apfs,"Apple File System, 2017 起 macOS/iOS 主 FS","APFS, APFS encrypted",https://en.wikipedia.org/wiki/Apple_File_System
.apk,Android Package,APK/AAB,https://en.wikipedia.org/wiki/Apk_(file_format)
.apks,APK Set (Bundle),APKS,https://en.wikipedia.org/wiki/Android_App_Bundle
.apng,Animated PNG extension with APNG specification,APNG spec by Mozilla/Pavel Zlatovrat;first-frame PNG fallback;frame dispose/blend modes;loop count,https://en.wikipedia.org/wiki/APNG
.app,macOS 应用程序包,APP,https://en.wikipedia.org/wiki/Bundle_(macOS)
.appx,Windows 应用包,APPX/APPXBUNDLE,https://en.wikipedia.org/wiki/APPX
.appxbundle,Windows 应用包 Bundle,APPXBUNDLE,https://en.wikipedia.org/wiki/APPX
.ar,Unix 静态库归档,AR,https://en.wikipedia.org/wiki/Ar_(Unix)
.arc,ARC 归档,ARC,https://en.wikipedia.org/wiki/ARC_(file_format)
.ari,Apple ARRI RAW (legacy),ARRI ARI;Bayer pattern;12-bit;Alexa cameras,https://en.wikipedia.org/wiki/Raw_image_format
.arj,ARJ 归档,ARJ,https://en.wikipedia.org/wiki/ARJ
.arrow,"Apache Arrow 内存/磁盘格式, 列式零拷贝","Arrow IPC, Feather",https://en.wikipedia.org/wiki/Apache_Arrow
.arrows,Apache Arrow IPC,Arrow IPC;columnar;streaming,https://en.wikipedia.org/wiki/Apache_Arrow
.arsc,Android 资源索引(编译),arsc,https://source.android.com/devices/tech/dalvik/
.art,Android Runtime 字节码,ART,https://en.wikipedia.org/wiki/Android_Runtime
.arw,Sony Alpha Raw (RAW),ARW 1.0/2.0/2.3/3.0/3.1/3.2/3.3/3.4/3.5/4.0;12/14-bit;Sony Alpha,https://en.wikipedia.org/wiki/Raw_image_format
.asc,ASCII 加密签名,ASC,https://en.wikipedia.org/wiki/Pretty_Good_Privacy
.asf,Advanced Systems Format (WMV/WMA),ASF/WMV/WMA,https://en.wikipedia.org/wiki/Advanced_Systems_Format
.asm,Creo/多 CAD 装配,asm,https://en.wikipedia.org/wiki/PTC_Creo
.asp,Active Server Pages (legacy),Classic ASP;.asp;legacy IIS,https://en.wikipedia.org/wiki/Active_Server_Pages
.aspx,ASP.NET page,ASP.NET Web Forms;.aspx,https://en.wikipedia.org/wiki/ASP.NET
.ass,Advanced SubStation Alpha,ASS,https://en.wikipedia.org/wiki/SubStation_Alpha
.asset,Unity Asset Bundle,ASSET/ASSETS,https://en.wikipedia.org/wiki/Unity_(game_engine)
.assets,Unity 多资产包,ASSETS,https://en.wikipedia.org/wiki/Unity_(game_engine)
.astc,Adaptive Scalable Texture Compression,ASTC,https://en.wikipedia.org/wiki/Adaptive_scalable_texture_compression
.asx,Advanced Stream Redirector (ASX/WMX/WVX),ASX/WMX/WVX/WAX,https://en.wikipedia.org/wiki/Advanced_Stream_Redirector
.atom,Atom syndication feed,Atom 0.3/1.0;RFC 4287,https://en.wikipedia.org/wiki/Atom_(standard)
.au,Sun/NeXT 简单未压缩音频,μ-law/A-law 8-bit 容器,https://en.wikipedia.org/wiki/Au_(file_format)
.aup,Audacity project,AUP3;XML;Audacity 3,https://en.wikipedia.org/wiki/Audacity
.aup3,Audacity 3 project,AUP3 db;SQLite;Audacity 3,https://en.wikipedia.org/wiki/Audacity
.auth.log,Linux 认证日志,auth.log,https://en.wikipedia.org/wiki/Syslog
.authorized_keys,SSH 服务端授权公钥文件,authorized_keys,https://man.openbsd.org/sshd
.autoconf,Autoconf 宏/脚本,autoconf,https://en.wikipedia.org/wiki/Autoconf
.automake,Automake Makefile.am,Makefile.am,https://en.wikipedia.org/wiki/Automake
.automount,systemd automount 单元,automount,https://www.freedesktop.org/software/systemd/man/systemd.automount.html
.aux,LaTeX auxiliary file,LaTeX .aux;labels/refs/cites,https://en.wikipedia.org/wiki/LaTeX
.avchd,AVCHD (MTS/M2TS),AVCHD,https://en.wikipedia.org/wiki/AVCHD
.avci,AVCI (AVC/H.264 intra) image variant of HEIF,AVC/H.264 encoding;intra-frame;8/10-bit;alpha;multi-image;ISOBMFF,https://en.wikipedia.org/wiki/HEIF
.avhd,Hyper-V 差分虚拟硬盘(自动),differencing,https://en.wikipedia.org/wiki/VHD_(file_format)
.avhdx,Hyper-V 差分虚拟硬盘 v2(自动),differencing,https://en.wikipedia.org/wiki/VHD_(file_format)
.avi,Audio Video Interleave 容器,AVI/AVI 2.0/OpenDML,https://en.wikipedia.org/wiki/Audio_Video_Interleave
.avif,AV1 Image File Format royalty-free modern image from AV1 codec,AV1 still image (KEY_FRAME);8/10/12-bit;4:2:0/4:2:2/4:4:4 chroma;alpha;film grain;HEIF-like ISOBMFF container,https://en.wikipedia.org/wiki/AVIF
.avro,Apache Avro schema/data,Avro 1.x;JSON schema;binary,https://en.wikipedia.org/wiki/Apache_Avro
.awb,Adaptive Multi-Rate Wideband 语音,AMR-WB 文件容器,https://en.wikipedia.org/wiki/Adaptive_Multi-Rate_audio_codec
.awk,AWK script,AWK;gawk;mawk,https://en.wikipedia.org/wiki/AWK
.ax,ActiveX 控件,AX,https://en.wikipedia.org/wiki/ActiveX
.axml,Android 二进制 XML,axml,https://source.android.com/devices/tech/dalvik/
.ay,AY-3-8910 芯片音乐,AY/ZXAY/AYL,https://en.wikipedia.org/wiki/AY-3-8910
.azure-pipelines.yml,Azure DevOps 流水线,azure-pipelines,https://learn.microsoft.com/azure/devops/pipelines/
.azw,Amazon Kindle e-book,AZW (KF7);Mobipocket-derived;Kindle proprietary DRM,https://en.wikipedia.org/wiki/Amazon_Kindle
.azw3,Amazon Kindle KF8 format,AZW3/KF8;supports HTML5/CSS3;EPUB reflowable,https://en.wikipedia.org/wiki/Amazon_Kindle
.azw4,Kindle Print Replica (active content),KF9/Print Replica;fixed-layout;page-by-page,https://en.wikipedia.org/wiki/Amazon_Kindle
.babel,Babel 翻译,babel,https://www.fileinfo.com/extension/babel
.backup,备份,backup,https://en.wikipedia.org/wiki/Backup
.bak,通用备份,BAK,https://en.wikipedia.org/wiki/Backup
.bak,通用备份文件扩展名,"bak, bak1-9",https://en.wikipedia.org/wiki/.bak
.bam,Sequence Alignment Map (binary),BAM 1.x;SAM binary,https://en.wikipedia.org/wiki/SAM_(file_format)
.bash,Bash shell script,Bash 3.x/4.x/5.x;shebang,https://en.wikipedia.org/wiki/Bash_(Unix_shell)
.bash_history,Bash 历史记录,bash_history,https://www.gnu.org/software/bash/manual/bash.html#Bash-History-Builtins
.bashrc,Bash 启动脚本,bashrc,https://www.gnu.org/software/bash/manual/bash.html
.basis,Basis Universal 纹理,Basis,https://en.wikipedia.org/wiki/Basis_Universal
.bat,Windows batch file,MS-DOS/Windows CMD;legacy,https://en.wikipedia.org/wiki/Batch_file
.bay,RAW Bayer image (Casio/Casio-style),Bayer mosaic;8/12/16-bit;unprocessed sensor dump,https://en.wikipedia.org/wiki/Raw_image_format
.bbl,LaTeX bibliography output,BibTeX output;.bbl;LaTeX,https://en.wikipedia.org/wiki/BibTeX
.bcf,Binary VCF,BCF 2;VCF binary,https://en.wikipedia.org/wiki/Variant_Call_Format
.bdb,Berkeley DB 常见扩展,BDB,https://en.wikipedia.org/wiki/Berkeley_DB
.bdf,Glyph Bitmap Distribution,BDF,https://en.wikipedia.org/wiki/Glyph_Bitmap_Distribution_Format
.berkeleydb,Berkeley DB 文件,"BDB, db, db4, db5",https://en.wikipedia.org/wiki/Berkeley_DB
.bfr,Block File Reader (NetScout),bfr,https://en.wikipedia.org/wiki/Network_General
.bhav,Bethesda Behavior,BHAV,https://en.wikipedia.org/wiki/Bethesda_Softworks
.bhd,Binary Header Descriptor (Cemu Wii U),BHD,https://en.wikipedia.org/wiki/Cemu
.bib,BibTeX bibliography,BibTeX;LaTeX;Mendeley/Zotero,https://en.wikipedia.org/wiki/BibTeX
.bibtex,BibTeX file (alternate extension),Same as .bib;LaTeX bibliography,https://en.wikipedia.org/wiki/BibTeX
.big,GRAND.BIG 资源,big,https://en.wikipedia.org/wiki/GRAND
.bik,Bink 视频文件,BIK,https://en.wikipedia.org/wiki/Bink_(video_format)
.bik2,Bink 视频 v2,BIK2,https://en.wikipedia.org/wiki/Bink_(video_format)
.bik3,Bink 视频 v3,BIK3,https://en.wikipedia.org/wiki/Bink_(video_format)
.bik4,Bink 视频 v4,BIK4,https://en.wikipedia.org/wiki/Bink_(video_format)
.bil,Banded Interleaved by Line (raster),BIP/BIL/BSQ;ERDAS;multispectral,https://en.wikipedia.org/wiki/BIP_(file_format)
.bim,Building Information Modeling (BIM collada/GIS),Various;IFC/glb extension use,https://en.wikipedia.org/wiki/Building_Information_Modeling
.bin,二进制光盘镜像,BIN/CUE,https://en.wikipedia.org/wiki/Cue_sheet_(computing)
.bin,通用二进制/Boot ROM,BIN,https://en.wikipedia.org/wiki/Binary_file
.bin,"二进制原始镜像文件, 通常与 cue 描述符配对 / 二进制原始数据(通用)","bin, cd-mode1, cd-mode2, raw binary",https://en.wikipedia.org/wiki/BIN/CUE
.bink,Bink 视频容器,Bink/Bink2,https://en.wikipedia.org/wiki/Bink_(video_format)
.bip,Banded Interleaved by Pixel,BIP;ERDAS;multispectral,https://en.wikipedia.org/wiki/BIP
.bitbucket-pipelines.yml,Bitbucket Pipelines,bitbucket-pipelines,https://support.atlassian.com/bitbucket-cloud/docs/get-started-with-bitbucket-pipelines/
.bk2,Bink 视频 v2 文件,BK2,https://en.wikipedia.org/wiki/Bink_(video_format)
.bkp,备份,bkp,https://en.wikipedia.org/wiki/Backup
.blend,Blender native project file,BLEND v0-v4;binary;Packed data;LZO/zlib compression,https://en.wikipedia.org/wiki/Blender_(software)
.blend1,Blender 备份扩展,BLEND1/BLEND2,https://en.wikipedia.org/wiki/Blender_(software)
.blend2,Blender 二次备份,BLEND2,https://en.wikipedia.org/wiki/Blender_(software)
.blob,Containerd/OCI blob 存储,blob,https://github.com/containerd/containerd
.bmfont,BITMAP BMFont 字形图,BMFONT,https://en.wikipedia.org/wiki/Bitmap_font
.bmp,Windows Bitmap uncompressed raster image device-independent format,BMP v1-v5;1/4/8/16/24/32 bpp;RLE compression (8-bit & 4-bit);top-down vs bottom-up row order;BITMAPINFOHEADER,https://en.wikipedia.org/wiki/BMP_file_format
.bns,BNE/BioWare BNS,BNS,https://en.wikipedia.org/wiki/BioWare
.box,Vagrant Box 镜像 (.box),vagrant box,https://www.vagrantup.com/docs/boxes.html
.bp,Android Soong Build 声明 (Blueprint),bp,https://ci.android.com/builds/submitted/8387208/linux/latest/ViewSourceTree.html
.bpffilter,tcpdump BPF 过滤程序,"bpf, bpf.c",https://www.tcpdump.org/manpages/pcap-filter.7.html
.bs,Bethesda Softworks BS,BS,https://en.wikipedia.org/wiki/Bethesda_Softworks
.bson,Binary JSON (MongoDB),BSON 1.x;MongoDB,https://en.wikipedia.org/wiki/BSON
.bsp,Quake Binary Space Partition,BSP,https://en.wikipedia.org/wiki/Quake_engine
.bsq,Banded Sequential,BSQ;ERDAS;multispectral,https://en.wikipedia.org/wiki/BSQ
.btmp,Linux 失败登录记录二进制,btmp,https://en.wikipedia.org/wiki/Utmp
.btrfs,"B-tree 文件系统, 支持 CoW/快照/子卷",btrfs,https://en.wikipedia.org/wiki/Btrfs
.bufr,WMO FM94 BUFR 二进制通用气象数据,bufr,https://en.wikipedia.org/wiki/BUFR
.build.gradle,Gradle Groovy 构建脚本,build.gradle,https://docs.gradle.org/current/userguide/tutorial_using_tasks.html
.build.gradle.kts,Gradle Kotlin DSL 构建脚本,build.gradle.kts,https://docs.gradle.org/current/userguide/tutorial_using_tasks.html
.bundle,macOS 包,bundle,https://en.wikipedia.org/wiki/Bundle_(macOS)
.bup,DVD 备份 IFO,BUP,https://en.wikipedia.org/wiki/DVD-Video
.bwav,Broadcast Wave Format (BWF),BWF/BWAV,https://en.wikipedia.org/wiki/Broadcast_Wave_Format
.bz,bzip2 压缩,BZ,https://en.wikipedia.org/wiki/Bzip2
.bz2,bzip2 压缩,BZ2/BZ,https://en.wikipedia.org/wiki/Bzip2
.bzip2,Bzip2 压缩,bzip2,https://en.wikipedia.org/wiki/Bzip2
.c,C language source code,ANSI C/C11/C17/C23;ISO/IEC 9899;header .h,https://en.wikipedia.org/wiki/C_(programming_language)
.c++,C++ source (compilers accept),Same as .cpp;gcc/clang support,https://en.wikipedia.org/wiki/C%2B%2B
.c4d,Maxon Cinema 4D 项目,C4D,https://en.wikipedia.org/wiki/Cinema_4D
.ca-bundle,CA 证书捆绑(PEM 多证书),ca-bundle.crt,https://en.wikipedia.org/wiki/Certificate_authority
.cab,Microsoft Cabinet 归档,CAB,https://en.wikipedia.org/wiki/Cabinet_(file_format)
.caddyfile,Caddy 服务器配置,Caddyfile,https://caddyserver.com/docs/caddyfile
.caf,Apple Core Audio Format,CAF,https://en.wikipedia.org/wiki/Core_Audio_Format
.caj,China Academic Journals (CNKI) document,CAJViewer (CNKI);scanned paper;Huffman/PNG;Chinese,https://en.wikipedia.org/wiki/CNKI
.cap,"网络抓包文件 (同 pcap, 常见于 Windows)",cap,https://en.wikipedia.org/wiki/Pcap
.car,macOS/iOS 编译器档案,car,https://developer.apple.com/library/archive/documentation/Cocoa/Conceptual/LoadingResources/
.cargo.lock,Rust Cargo 锁定依赖,Cargo.lock,https://doc.rust-lang.org/cargo/guide/cargo-toml-vs-cargo-lock.html
.cargo.toml,Rust Cargo 项目元数据,Cargo.toml,https://doc.rust-lang.org/cargo/reference/manifest.html
.cassandra,Apache Cassandra SSTable 数据文件,"SSTable, .db",https://en.wikipedia.org/wiki/Apache_Cassandra
.catdrawing,CATIA 工程图,catdrawing,https://en.wikipedia.org/wiki/CATIA
.catpart,CATIA 零件,catpart,https://en.wikipedia.org/wiki/CATIA
.catproduct,CATIA 产品/装配,catproduct,https://en.wikipedia.org/wiki/CATIA
.cb7,Comic Book 7z archive,7z archive;images;Manga reader,https://en.wikipedia.org/wiki/Comic_book_archive
.cba,Comic Book ACE archive,ACE archive;images;Manga reader,https://en.wikipedia.org/wiki/Comic_book_archive
.cbor,"Concise Binary Object Representation, RFC 8949","CBOR, CWT",https://en.wikipedia.org/wiki/CBOR
.cbr,Comic Book RAR archive (images),RAR archive of images;ComicRack;Manga reader,https://en.wikipedia.org/wiki/Comic_book_archive
.cbt,Comic Book TAR archive,TAR archive;images;tar+gzip;Manga reader,https://en.wikipedia.org/wiki/Comic_book_archive
.cbz,Comic Book ZIP archive (images),ZIP archive of PNG/JPG/GIF/WebP;ComicRack;Manga reader,https://en.wikipedia.org/wiki/Comic_book_archive
.cc,C++ source code (C with classes extension),C++98/11/14/17/20/23;header .hh;common on Unix,https://en.wikipedia.org/wiki/C%2B%2B
.ccd,CloneCD 描述符,CCD/SUB/IMG,https://en.wikipedia.org/wiki/CloneCD
.cda,CD 音轨 (光盘索引),CDA,https://en.wikipedia.org/wiki/.cda
.cdf,Common Data Format (NASA),CDF;Common Data Format,https://en.wikipedia.org/wiki/Common_Data_Format
.cdr,CorelDRAW native vector document,CDR v1-v2024;CMYK/RGB;Corel proprietary;often zlib-compressed,https://en.wikipedia.org/wiki/CorelDRAW
.cdr,Mac OS X 磁盘镜像,CDR,https://en.wikipedia.org/wiki/Apple_Disk_Image
.cdt,CD-TEXT file or CorelDRAW template,CDT;Corel;templates,https://en.wikipedia.org/wiki/CorelDRAW
.cdt,CD 文本元数据,CDT,https://en.wikipedia.org/wiki/CD-Text
.cdx,Visual FoxPro 复合索引,CDX structural/standalone,https://en.wikipedia.org/wiki/Visual_FoxPro
.cef,Compact Embedded Font,CEF,https://en.wikipedia.org/wiki/OpenType
.cel,Autodesk Animator FLIC single frame (extension),FLIC family;1/4/8 bpp;RLE;legacy Autodesk,https://en.wikipedia.org/wiki/FLIC_(file_format)
.cer,证书文件(可 PEM/DER),cer,https://en.wikipedia.org/wiki/X.509
.cf,"Postfix 配置 (main.cf, master.cf)",cf,http://www.postfix.org/postconf.5.html
.cff,Compact Font Format,CFF,https://en.wikipedia.org/wiki/PostScript_fonts
.cfg,Configuration file (generic),Python ConfigParser;TOML;INI-like,https://en.wikipedia.org/wiki/Configuration_file
.cgm,Computer Graphics Metafile ISO 8632 vector,ISO 8632-1/-3/-4;binary/text/clear-text encoding;CGM Web,https://en.wikipedia.org/wiki/Computer_Graphics_Metafile
.cgr,CATIA 图形表示(轻量),cgr,https://en.wikipedia.org/wiki/CATIA
.chm,Microsoft Compiled HTML Help,Microsoft CHM (HHCE);CompiledHelp;Microsoft,https://en.wikipedia.org/wiki/Microsoft_Compiled_HTML_Help
.chromadb,ChromaDB 向量数据库文件,chroma,https://docs.trychroma.com/
.cif,Crystallographic Information File,CIF 1.1;mmCIF;Crystallography,https://en.wikipedia.org/wiki/Crystallographic_Information_File
.cin,Cineon raster (Kodak),Cineon 10-bit log;Kodak DPX predecessor;film scanning,https://en.wikipedia.org/wiki/Cineon
.cjs,CommonJS module,CommonJS;Node.js;require/module.exports,https://en.wikipedia.org/wiki/CommonJS
.clang-format,clang-format 代码风格配置,clang-format,https://clang.llvm.org/docs/ClangFormat.html
.class,Java 字节码,CLASS,https://en.wikipedia.org/wiki/Java_class_file
.classpath,Eclipse Java 类路径定义,.classpath,https://en.wikipedia.org/wiki/Eclipse_(software)
.clj,Clojure source code,Clojure 1.0-1.11;JVM;persistent data,https://en.wikipedia.org/wiki/Clojure
.cljc,Clojure/ClojureScript reader,Clojure/ClojureScript reader conditional,https://en.wikipedia.org/wiki/Clojure
.cljs,ClojureScript source code,ClojureScript;JavaScript target,https://en.wikipedia.org/wiki/ClojureScript
.cmake,CMake 脚本,"cmake, CMakeLists.txt",https://en.wikipedia.org/wiki/CMake
.cmakelists.txt,CMake 项目入口文件,CMakeLists.txt,https://en.wikipedia.org/wiki/CMake
.cmd,Windows command script,Windows NT CMD;NT-style,https://en.wikipedia.org/wiki/Batch_file
.cmx3600,CMX 3600 EDL,CMX3600,https://en.wikipedia.org/wiki/Edit_decision_list
.coffee,CoffeeScript source code,CoffeeScript 1.x/2.x;transpiled to JS,https://en.wikipedia.org/wiki/CoffeeScript
.colormap,Wireshark 颜色规则,colormap,https://www.wireshark.org/docs/wsug_html_chunked/ChCustView.html
.com,旧版 DOS 可执行,COM (CP/M),https://en.wikipedia.org/wiki/COM_file
.comp,GLSL 计算着色器,COMP,https://en.wikipedia.org/wiki/Compute_shader
.compose.yaml,Docker Compose v2 规范,compose.yaml,https://docs.docker.com/compose/compose-file/
.compose.yml,Compose v2 短扩展名,compose.yml,https://docs.docker.com/compose/compose-file/
.composer.json,PHP Composer 项目元数据,composer.json,https://getcomposer.org/doc/04-schema.md
.composer.lock,PHP Composer 锁定依赖,composer.lock,https://getcomposer.org/doc/01-basic-usage.md
.conf,Configuration file (Unix),Apache/nginx conf;KDE;Vim,https://en.wikipedia.org/wiki/Configuration_file
.conf,OpenVPN/WireGuard 配置文件 / 通用配置文件,"conf, ovpn",https://openvpn.net/community-resources/reference-manual-for-openvpn-2-4/
.config,OpenSSH ~/.ssh/config,ssh_config,https://man.openbsd.org/ssh_config
.configure,Autoconf 生成的配置脚本,configure,https://en.wikipedia.org/wiki/Autoconf
.configure.ac,Autoconf 输入文件,configure.ac,https://en.wikipedia.org/wiki/Autoconf
.containerfile,OCI 标准容器构建脚本(类似 Dockerfile),Containerfile,https://github.com/containers/common/blob/main/docs/Containerfile.5.md
.containers-storage,Podman/CRI-O 存储目录,containers/storage,https://github.com/containers/storage
.cookies,浏览器 cookies 集合(部分工具),cookies.txt,https://en.wikipedia.org/wiki/HTTP_cookie
.cookies.txt,Netscape 格式 cookies 文件,cookies.txt,https://curl.se/docs/http-cookies.html
.couchdb,Apache CouchDB 数据库文件,couchdb,https://en.wikipedia.org/wiki/Apache_CouchDB
.cp,C++ source code (rare extension),C++;pre-ANSI;UNIX,https://en.wikipedia.org/wiki/C%2B%2B
.cpanfile,Perl cpanm 依赖声明,cpanfile,https://metacpan.org/pod/Module::CPANfile
.cpanfile.lock,Carton 锁定依赖,cpanfile.lock,https://metacpan.org/pod/Carton
.cpf,IBM Cognos/IRIS 配置文件或 Cache CPF,CPF,https://www.fileinfo.com/extension/cpf
.cpio,Cpio 归档,CPIO,https://en.wikipedia.org/wiki/Cpio
.cpl,Windows 控制面板项,CPL,https://en.wikipedia.org/wiki/Control_Panel_(Windows)
.cpl,Windows 控制面板项,cpl,https://en.wikipedia.org/wiki/.cpl
.cport,SAS CPORT 移植数据集,cport,https://en.wikipedia.org/wiki/SAS_(software)
.cpp,C++ source code,ISO C++98/11/14/17/20/23;header .hpp;common on Windows,https://en.wikipedia.org/wiki/C%2B%2B
.cpr,CPR/cube 压缩,CPR,https://en.wikipedia.org/wiki/Comic_book_archive
.cps,Corel Photo-Paint file,CPS;Corel,https://en.wikipedia.org/wiki/Corel
.cr2,Canon Raw v2 (CIFF-based RAW),CR2 Canon RAW v2;CIFF container;lossless JPEG (LJPEG);sRAW/mRAW,https://en.wikipedia.org/wiki/Raw_image_format
.cr3,Canon Raw v3 (ISOBMFF/MP4 container),CR3 ISOBMFF (MP4);HEIF-like;Canon RAW v3;lossy/lossless;CRM tags,https://en.wikipedia.org/wiki/Raw_image_format
.crash,通用崩溃报告,crash,https://en.wikipedia.org/wiki/Crash_(computing)
.crashdump,通用崩溃转储,crash dump,https://en.wikipedia.org/wiki/Core_dump
